Name,Full Ticker,Ticker,Trading Country ISO Code,Operating Country ISO Code,Industry,Beta (5 Year),Total Debt,Total Equity,Revenue,Enterprise Value (EV)
Playground Ventures Inc.,OTCPK:SMPB.F,SMPB.F,USA,CAN,Entertainment,1.7956,0.0926,3.3637,,4.7097
"Direct Equity International, Inc.",OTCPK:DEQI,DEQI,USA,USA,Entertainment,,,,,
"Major League Football, Inc.",OTCPK:MLFB,MLFB,USA,USA,Entertainment,2.5839,1.0933,-4.5201,,6.7989
"Modern Cinema Group, Inc.",OTCPK:MOCI,MOCI,USA,USA,Entertainment,,,,,
"Reeltime Rentals, Inc.",OTCPK:RLTR,RLTR,USA,USA,Entertainment,,,,,
"Stereo Vision Entertainment, Inc.",OTCPK:SVSN,SVSN,USA,USA,Entertainment,-0.6416,,,2.5,4.8056
"Everlert, Inc.",OTCPK:EVLI,EVLI,USA,USA,Entertainment,,,,,
"Xtreme Fighting Championships, Inc.",OTCPK:DKMR,DKMR,USA,USA,Entertainment,-0.6545,0.688,9.9025,0.7537,5.7192
"B2Digital, Incorporated",OTCPK:BTDG,BTDG,USA,USA,Entertainment,1.7901,5.5134,-3.9461,1.9841,9.2003
YDx Innovation Corp.,OTCPK:YDRM.F,YDRM.F,USA,CAN,Entertainment,,,,,5.4055
Valiant Eagle Inc.,OTCPK:PSRU,PSRU,USA,USA,Entertainment,,,,,
